key|nickname|description|total_songs|total_playlists|total_friends|song_name|artist|album
10022|라이온|소개글이 없습니다.|282|14|3|라라라|SG 워너비|My Friend
10022|라이온|소개글이 없습니다.|282|14|3|Maria|김아중|미녀는 괴로워 OST
10022|라이온|소개글이 없습니다.|282|14|3|낭만고양이|체리 필터|Made In Korea?
10022|라이온|소개글이 없습니다.|282|14|3|김밥|더 자두|The Jadu 3
10022|라이온|소개글이 없습니다.|282|14|3|마법의 성|더 클래식|마법의 성
10022|라이온|소개글이 없습니다.|282|14|3|네모의 꿈|화이트|Dream Come True
10022|라이온|소개글이 없습니다.|282|14|3|내 영혼이 은총입어|김남희|테너 김남희 찬송가
10022|라이온|소개글이 없습니다.|282|14|3|Ravel : Gaspard De La Nuit M.55 - I. Ondine (Live) (라벨 : 밤의 가스파르 - 1번. 물의 요정)|Lucas Debargue|Scarlatti, Chopin, Liszt, Ravel
10022|라이온|소개글이 없습니다.|282|14|3|Chopin : Ballade No.4 In F Minor Op.52 (Live) (쇼팽 : 발라드 4번 바단조 작품번호 52)|Lucas Debargue|Scarlatti, Chopin, Liszt, Ravel
10022|라이온|소개글이 없습니다.|282|14|3|Liszt : Nocturne No.3 In A Flat Major Op.62-1 S.541 `Dream Of Love` (리스트 : 야상곡 3번 내림 가장조 작품번호 62-1 `사랑의 꿈`)|Franz Liszt|Revolutionar Und Virtuose (Revolutionary And Virtuoso, 리스트 - 혁명과 거장)
10022|라이온|소개글이 없습니다.|282|14|3|Chopin : 24 Preludes No.4 In E Minor Op.28 (쇼팽 : 24개의 전주곡 4번 마단조 작품번호 28)|조성진|2015 쇼팽 콩쿠르 실황앨범
10022|라이온|소개글이 없습니다.|282|14|3|기억의 습작|김동률|Thanks (감사)
10022|라이온|소개글이 없습니다.|282|14|3|여수 밤바다|버스커 버스커|버스커 버스커 1집
10022|라이온|소개글이 없습니다.|282|14|3|천일동안 (이승환)|옥주현|[서바이벌 나는 가수다] 경연4-1. `내가 좋아하는 뮤지션의 곡 부르기`
